level,itl,name,year,Population
ITL1,TLC,North East,2004,1634753.0
ITL1,TLD,North West,2004,4637655.0
ITL1,TLE,Yorkshire and The Humber,2004,3415446.0
ITL1,TLF,East Midlands,2004,3041353.0
ITL1,TLG,West Midlands,2004,3683186.0
ITL1,TLH,East,2004,3910749.0
ITL1,TLI,London,2004,6055727.0
ITL1,TLJ,South East,2004,5755628.0
ITL1,TLK,South West,2004,3465821.0
ITL1,TLL,Wales,2004,1892679.0
ITL1,TLM,Scotland,2004,3494517.0
ITL1,TLN,Northern Ireland,2004,1187162.0
ITL1,TLC,North East,2005,1634753.0
ITL1,TLD,North West,2005,4637655.0
ITL1,TLE,Yorkshire and The Humber,2005,3415446.0
ITL1,TLF,East Midlands,2005,3041353.0
ITL1,TLG,West Midlands,2005,3683186.0
ITL1,TLH,East,2005,3910749.0
ITL1,TLI,London,2005,6055727.0
ITL1,TLJ,South East,2005,5755628.0
ITL1,TLK,South West,2005,3465821.0
ITL1,TLL,Wales,2005,1892679.0
ITL1,TLM,Scotland,2005,3494517.0
ITL1,TLN,Northern Ireland,2005,1187162.0
ITL1,TLC,North East,2006,1634753.0
ITL1,TLD,North West,2006,4637655.0
ITL1,TLE,Yorkshire and The Humber,2006,3415446.0
ITL1,TLF,East Midlands,2006,3041353.0
ITL1,TLG,West Midlands,2006,3683186.0
ITL1,TLH,East,2006,3910749.0
ITL1,TLI,London,2006,6055727.0
ITL1,TLJ,South East,2006,5755628.0
ITL1,TLK,South West,2006,3465821.0
ITL1,TLL,Wales,2006,1892679.0
ITL1,TLM,Scotland,2006,3494517.0
ITL1,TLN,Northern Ireland,2006,1187162.0
ITL1,TLC,North East,2007,1634753.0
ITL1,TLD,North West,2007,4637655.0
ITL1,TLE,Yorkshire and The Humber,2007,3415446.0
ITL1,TLF,East Midlands,2007,3041353.0
ITL1,TLG,West Midlands,2007,3683186.0
ITL1,TLH,East,2007,3910749.0
ITL1,TLI,London,2007,6055727.0
ITL1,TLJ,South East,2007,5755628.0
ITL1,TLK,South West,2007,3465821.0
ITL1,TLL,Wales,2007,1892679.0
ITL1,TLM,Scotland,2007,3494517.0
ITL1,TLN,Northern Ireland,2007,1187162.0
ITL1,TLC,North East,2008,1634753.0
ITL1,TLD,North West,2008,4637655.0
ITL1,TLE,Yorkshire and The Humber,2008,3415446.0
ITL1,TLF,East Midlands,2008,3041353.0
ITL1,TLG,West Midlands,2008,3683186.0
ITL1,TLH,East,2008,3910749.0
ITL1,TLI,London,2008,6055727.0
ITL1,TLJ,South East,2008,5755628.0
ITL1,TLK,South West,2008,3465821.0
ITL1,TLL,Wales,2008,1892679.0
ITL1,TLM,Scotland,2008,3494517.0
ITL1,TLN,Northern Ireland,2008,1187162.0
ITL1,TLC,North East,2009,1634753.0
