itl,year,parent,GVA/H current,GVA/H volume,jobs,hours,GVA/worker current,growth,LN average growth,LN total growth,Perc total growth,ITL1 GVA/H,ITL1 average,ITL1 LN total growth,ITL1 Perc total growth,UKX GVA/H,UKX average,UKX LN total growth,UKX Perc total growth,UKX GVA/worker,ITL1 tax,UK tax
UKX,2005,UKX,25.4,90.2,29341438.0,927870600.0,38311.9,0.011148387482614375,0.011148387482614375,0.011148387482614375,0.011210762331838708,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Steaming ahead
TLC,2005,UKX,22.6,90.2,1084399.0,33661087.0,33317.9,0.005558658003828043,0.005558658003828043,0.005558658003828043,0.005574136008919206,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLD,2005,UKX,23.6,94.4,3196014.0,99169549.0,35066.1,0.01709443335930061,0.01709443335930061,0.01709443335930061,0.017241379310345417,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Catching up
TLE,2005,UKX,22.5,94.7,2356352.0,74516313.0,33745.4,0.0,0.0,0.0,0.0,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLF,2005,UKX,22.0,92.9,1969022.0,63874076.0,33586.8,-0.027602601666891324,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLG,2005,UKX,22.3,92.1,2528989.0,79077512.0,33835.9,-0.0010851873012871494,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLH,2005,UKX,25.0,94.3,2622713.0,81595628.0,37692.1,0.019272545121031825,0.019272545121031825,0.019272545121031825,0.01945945945945904,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Catching up
TLI,2005,UKX,33.9,92.9,4430753.0,147543749.0,53136.5,0.02617379511391249,0.02617379511391249,0.02617379511391249,0.026519337016574607,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Steaming ahead
TLJ,2005,UKX,27.7,87.8,4141918.0,126849525.0,41226.7,0.01723190255168916,0.01723190255168916,0.01723190255168916,0.01738122827346511,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Steaming ahead
TLK,2005,UKX,23.6,94.7,2467124.0,76029956.0,34904.0,0.0,0.0,0.0,0.0,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLL,2005,UKX,21.2,87.8,1267992.0,40423233.0,31994.8,-0.020293819339813446,-0.020293819339813446,-0.020293819339813446,-0.020089285714285365,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLM,2005,UKX,23.7,85.0,2503487.0,78397715.0,34924.3,0.0035356548323077774,0.0035356548323077774,0.0035356548323077774,0.0035419126328217754,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLN,2005,UKX,20.6,93.7,772675.0,26732260.0,33519.6,0.005350467552830196,0.005350467552830196,0.005350467552830196,0.0053648068669520654,,,,,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9, ,Falling behind
TLC11,2005,TLC,24.1,94.2,118064.0,3549987.0,34850.7,-0.008456710018223568,-0.008456710018223568,-0.008456710018223568,-0.008421052631579107,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLC12,2005,TLC,20.1,96.0,111922.0,3278271.0,28816.0,0.040388060905288015,0.040388060905288015,0.040388060905288015,0.04121475054229928,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLC13,2005,TLC,26.5,63.0,53270.0,1534492.0,39572.8,0.01761454670098228,0.01761454670098228,0.01761454670098228,0.017770597738287597,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLC14,2005,TLC,22.5,108.7,178429.0,5365010.0,33366.6,0.04805446430178151,0.04805446430178151,0.04805446430178151,0.04922779922779963,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLC21,2005,TLC,20.7,101.5,118160.0,3563851.0,30655.1,0.03815723943310445,0.03815723943310445,0.03815723943310445,0.03889457523029627,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
