level,itl,name,year,GVA per Hour,Change in GVA per hour
UK,UKX,United Kingdom less Extra-Regio,2004,25.5,89.2
Other,TLB,England,2004,26.1,90.4
ITL1,TLC,North East,2004,22.7,89.7
ITL2,TLC1,Tees Valley and Durham,2004,23,91
ITL3,TLC11,Hartlepool and Stockton-on-Tees,2004,24.3,95
ITL3,TLC12,South Teesside,2004,20.3,92.2
ITL3,TLC13,Darlington,2004,26.5,61.9
ITL3,TLC14,Durham CC,2004,22.7,103.6
ITL2,TLC2,"Northumberland, and Tyne and Wear",2004,22.6,88.8
ITL3,TLC21,Northumberland,2004,20.8,97.7
ITL3,TLC22,Tyneside,2004,22.4,86.9
ITL3,TLC23,Sunderland,2004,24.9,90.2
ITL1,TLD,North West,2004,23.8,92.8
ITL2,TLD1,Cumbria,2004,22.8,92.4
ITL3,TLD11,West Cumbria,2004,23,98.9
ITL3,TLD12,East Cumbria,2004,22.7,90.4
ITL2,TLD3,Greater Manchester,2004,22.8,86.4
ITL3,TLD33,Manchester,2004,24.7,85.1
ITL3,TLD34,Greater Manchester South West,2004,25.7,84.4
ITL3,TLD35,Greater Manchester South East,2004,21.3,91.1
ITL3,TLD36,Greater Manchester North West,2004,20.5,103.5
ITL3,TLD37,Greater Manchester North East,2004,20.6,88
ITL2,TLD4,Lancashire,2004,22.8,96.6
ITL3,TLD41,Blackburn with Darwen,2004,18.9,81.2
ITL3,TLD42,Blackpool,2004,18.5,95.2
ITL3,TLD44,Lancaster and Wyre,2004,22.5,104
ITL3,TLD45,Mid Lancashire,2004,27.2,104.3
ITL3,TLD46,East Lancashire,2004,21.5,90.2
ITL3,TLD47,Chorley and West Lancashire,2004,20.3,91.8
ITL2,TLD6,Cheshire,2004,28.2,96.6
ITL3,TLD61,Warrington,2004,25.8,89.1
ITL3,TLD62,Cheshire East,2004,31.5,103
ITL3,TLD63,Cheshire West and Chester,2004,26.4,93.8
ITL2,TLD7,Merseyside,2004,23.7,100.5
ITL3,TLD71,East Merseyside,2004,25.9,97.6
ITL3,TLD72,Liverpool,2004,24.7,111.1
ITL3,TLD73,Sefton,2004,18.7,89.1
ITL3,TLD74,Wirral,2004,22.7,105.9
ITL1,TLE,Yorkshire and The Humber,2004,22.6,94.7
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2004,23.1,95.8
ITL3,TLE11,"Kingston upon Hull, City of",2004,20.1,89.5
ITL3,TLE12,East Riding of Yorkshire,2004,26.7,111.4
ITL3,TLE13,North and North East Lincolnshire,2004,23,96
ITL2,TLE2,North Yorkshire,2004,25,108.5
ITL3,TLE21,York,2004,29.7,111.4
ITL3,TLE22,North Yorkshire CC,2004,23.3,106.3
ITL2,TLE3,South Yorkshire,2004,20.7,93.6
ITL3,TLE31,"Barnsley, Doncaster and Rotherham",2004,19,92.7
ITL3,TLE32,Sheffield,2004,22.6,93.3
ITL2,TLE4,West Yorkshire,2004,22.7,90.3
